"","NAME","RATING"
"1","Avengers: Infinity War","8.4"
"2","The Avengers","8"
"3","Iron Man","7.9"
"4","Guardians of the Galaxy","8"
"5","Avengers: Endgame","8.4"
"6","Deadpool","8"
"7","Logan","8.1"
"8","Captain America: Civil War","7.8"
"9","Spider-Man","7.3"
"10","X-Men: Days of Future Past","7.9"
"11","Captain America: The Winter Soldier","7.7"
"12","Black Panther","7.3"
"13","X: First Class","7.7"
"14","Spider-Man 2","7.3"
"15","Thor: Ragnarok","7.9"
"16","Deadpool 2","7.7"
"17","Guardians of the Galaxy Vol. 2","7.6"
"18","Iron Man Three","7.1"
"19","Avengers: Age of Ultron","7.3"
"20","Spider-Man: Homecoming","7.4"
"21","Ant-Man","7.3"
"22","Thor","7"
"23","X2","7.4"
"24","X-Men","7.4"
"25","Iron Man 2","7"
